,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
bohnenkamp: P10 i_3_u,faust://inscription/bohnenkamp/P10/i_3_u,bohnenkamp: P10 i_3_u,Inscription,bohnenkamp: P10,199,93,1800-04-12,1800-04-12,1800-11-09,1800-11-09,1800-07-26,1800.0,1800,684
R 1,faust://document/faustedition/R_1,R 1,Witness,,200,93,1800-04-12,1800-04-12,1800-11-09,1800-11-09,1800-07-26,1800.0,1800,698
H P27,faust://document/faustedition/H_P27,H P27,Witness,,201,99,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,556
H P28,faust://document/faustedition/H_P28,H P28,Witness,,202,98,1800-11-01,1800-11-01,1801-05-02,1801-05-02,1801-01-31,1801.0,1800 … 1801,557
H P29,faust://document/faustedition/H_P29,H P29,Witness,,203,98,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,558
H P30,faust://document/faustedition/H_P30,H P30,Witness,,204,98,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,559
H P32,faust://document/faustedition/H_P32,H P32,Witness,,205,98,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,560
H P62a,faust://document/faustedition/H_P62a,H P62a,Witness,,206,98,1800-11-01,1800-11-01,1806-04-05,1806-04-05,1803-07-19,1803.0,1800 … 1806,564
1 H.14,faust://document/faustedition/1_H.14,1 H.14,Witness,,207,99,1800-11-04,1800-11-04,1801-02-09,1801-02-09,1800-12-22,1800.0,1800 … 1801,17
gsa_1: GSA_25_XVII_1_1a,faust://document/gsa_1/GSA_25_XVII_1_1a,gsa_1: GSA_25_XVII_1_1a,UnknownRef,,208,114,1801-02-11,1801-02-11,1801-02-14,1801-02-14,1801-02-12,1801.0,1801,660
1 H.12,faust://document/faustedition/1_H.12,1 H.12,Witness,,209,129,1806-02-28,1806-02-28,1806-06-01,1806-06-01,1806-04-15,1806.0,1806,15
H P110a,faust://document/faustedition/H_P110a,H P110a,Witness,,210,133,1807-07-31,1807-07-31,1807-09-01,1807-09-01,1807-08-16,1807.0,1807,592
A,faust://document/faustedition/A,A,Witness,,211,139,1808-03-31,1808-03-31,1808-06-01,1808-06-01,1808-05-01,1808.0,1808,639
J.2,faust://document/faustedition/J.2,J.2,Witness,,212,138,1808-04-06,1808-04-06,1808-05-04,1808-05-04,1808-04-20,1808.0,1808,680
D.1,faust://document/faustedition/D.1,D.1,Witness,,213,142,1808-05-31,1808-05-31,1808-11-01,1808-11-01,1808-08-16,1808.0,1808,653
1 H.2,faust://document/faustedition/1_H.2,1 H.2,Witness,,214,143,1808-09-30,1808-09-30,1810-01-01,1810-01-01,1809-05-17,1809.0,1808 … 1809,5
H P47,faust://document/faustedition/H_P47,H P47,Witness,,215,143,1808-09-30,1808-09-30,1809-03-31,1809-03-31,1808-12-30,1808.0,1808 … 1809,562
T 1 H.0,faust://document/faustedition/T_1_H.0,T 1 H.0,Witness,,216,150,1810-11-03,1810-11-03,1812-12-02,1812-12-02,1811-11-18,1811.0,1810 … 1812,703
T 3 H.1,faust://document/faustedition/T_3_H.1,T 3 H.1,Witness,,217,152,1811-12-31,1811-12-31,1813-01-01,1813-01-01,1812-07-01,1812.0,1812,706
T 1 H.1,faust://document/faustedition/T_1_H.1,T 1 H.1,Witness,,218,152,1812-10-19,1812-10-19,1812-12-02,1812-12-02,1812-11-10,1812.0,1812,704
T 2 H,faust://document/faustedition/T_2_H,T 2 H,Witness,,219,159,1814-03-31,1814-03-31,1819-07-05,1819-07-05,1816-11-16,1816.0,1814 … 1819,705
T 4 H.1,faust://document/faustedition/T_4_H.1,T 4 H.1,Witness,,220,159,1814-03-31,1814-03-31,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,709
T 4 H.2,faust://document/faustedition/T_4_H.2,T 4 H.2,Witness,,221,159,1814-04-01,1814-04-01,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,710
T 4 H.3,faust://document/faustedition/T_4_H.3,T 4 H.3,Witness,,222,159,1814-04-01,1814-04-01,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,711
T 5 H.2,faust://document/faustedition/T_5_H.2,T 5 H.2,Witness,,223,164,1815-04-30,1815-04-30,1815-05-04,1815-05-04,1815-05-02,1815.0,1815,713
T 5 H.1,faust://document/faustedition/T_5_H.1,T 5 H.1,Witness,,224,167,1815-05-16,1815-05-16,1815-05-18,1815-05-18,1815-05-17,1815.0,1815,712
B,faust://document/faustedition/B,B,Witness,,225,171,1816-09-30,1816-09-30,1816-11-01,1816-11-01,1816-10-16,1816.0,1816,640
D.2,faust://document/faustedition/D.2,D.2,Witness,,226,171,1816-09-30,,,,1816-09-30,1816.0,1816,654
H P63,faust://document/faustedition/H_P63,H P63,Witness,,227,174,1816-12-15,1816-12-15,1817-06-15,1817-06-15,1817-03-16,1817.0,1816 … 1817,565
B.a,faust://document/faustedition/B.a,B.a,Witness,,228,175,1817-05-31,1817-05-31,1818-01-01,1818-01-01,1817-09-15,1817.0,1817,641
D.3,faust://bibliography/D.3,D.3,UnknownRef,,229,183,1820-12-31,1820-12-31,1822-01-01,1822-01-01,1821-07-02,1821.0,1821,656
2 III H.23,faust://document/faustedition/2_III_H.23,2 III H.23,Witness,,230,185,1822-09-29,1822-09-29,1822-10-01,1822-10-01,1822-09-30,1822.0,1822,342
2 III H.23a*,faust://document/faustedition/2_III_H.23a_,2 III H.23a*,Witness,,231,186,1822-09-29,,1826-05-26,,1824-07-27,1824.0,1822 … 1826,343
2 III H.65,faust://document/faustedition/2_III_H.65,2 III H.65,Witness,,232,193,1824-04-11,1824-04-11,1824-10-10,1824-10-10,1824-07-11,1824.0,1824,419
2 III H.66a,faust://document/faustedition/2_III_H.66a,2 III H.66a,Witness,,233,195,1824-04-11,,1826-05-26,,1825-05-03,1825.0,1824 … 1826,421
2 III H.80,faust://document/faustedition/2_III_H.80,2 III H.80,Witness,,234,197,1824-04-12,1824-04-12,1824-04-14,1824-04-14,1824-04-13,1824.0,1824,439
1 H.16,faust://document/faustedition/1_H.16,1 H.16,Witness,,235,199,1824-07-30,1824-07-30,1826-07-01,1826-07-01,1825-07-15,1825.0,1824 … 1826,19
2 III H.27 i_v,faust://inscription/faustedition/2_III_H.27/i_v,2 III H.27 i_v,Inscription,2 III H.27,236,203,1824-10-06,1824-10-06,1825-04-06,1825-04-06,1825-01-05,1825.0,1824 … 1825,88
2 III H.49 i_uebrige,faust://inscription/faustedition/2_III_H.49/i_uebrige,2 III H.49 i_uebrige,Inscription,2 III H.49,237,208,1824-11-05,1824-11-05,1825-05-06,1825-05-06,1825-02-04,1825.0,1824 … 1825,73
2 III H.49,faust://document/faustedition/2_III_H.49,2 III H.49,Witness,,238,208,1824-11-05,1824-11-05,1825-04-06,1825-05-06,1825-01-20,1825.0,1824 … 1825,383
H P195,faust://document/faustedition/H_P195,H P195,Witness,,239,219,1825-02-23,1825-02-23,1825-02-26,1825-02-26,1825-02-24,1825.0,1825,635
H P194,faust://document/faustedition/H_P194,H P194,Witness,,240,220,1825-02-23,,1825-03-05,,1825-02-28,1825.0,1825,634
2 V H.4,faust://document/faustedition/2_V_H.4,2 V H.4,Witness,,241,222,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,488
2 V H.3,faust://document/faustedition/2_V_H.3,2 V H.3,Witness,,242,229,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,487
2 V H.15,faust://document/faustedition/2_V_H.15,2 V H.15,Witness,,243,220,1825-02-24,1825-02-24,1825-03-13,1825-03-13,1825-03-04,1825.0,1825,501
2 V H.24,faust://document/faustedition/2_V_H.24,2 V H.24,Witness,,244,220,1825-02-24,1825-02-24,1825-03-07,1825-04-01,1825-03-01,1825.0,1825,512
2 V H.27,faust://document/faustedition/2_V_H.27,2 V H.27,Witness,,245,221,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,516
2 V H.28 alpha,faust://inscription/faustedition/2_V_H.28/alpha,2 V H.28 alpha,Inscription,2 V H.28,246,221,1825-02-24,,1825-03-05,,1825-02-28,1825.0,1825,27
2 V H.25,faust://document/faustedition/2_V_H.25,2 V H.25,Witness,,247,225,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,513
2 V H.28,faust://document/faustedition/2_V_H.28,2 V H.28,Witness,,248,229,1825-02-24,1825-02-24,1825-03-05,1825-03-05,1825-02-28,1825.0,1825,517
2 V H.29 i_r,faust://inscription/faustedition/2_V_H.29/i_r,2 V H.29 i_r,Inscription,2 V H.29,249,225,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,49
2 V H.29 i_v,faust://inscription/faustedition/2_V_H.29/i_v,2 V H.29 i_v,Inscription,2 V H.29,250,225,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,82
2 V H.29,faust://document/faustedition/2_V_H.29,2 V H.29,Witness,,251,227,1825-02-24,1825-02-24,1825-03-17,1825-04-01,1825-03-06,1825.0,1825,518
2 V H.15a i_r_g,faust://inscription/faustedition/2_V_H.15a/i_r_g,2 V H.15a i_r_g,Inscription,2 V H.15a,252,221,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,55
2 III H.5 i_r_r,faust://inscription/faustedition/2_III_H.5/i_r_r,2 III H.5 i_r_r,Inscription,2 III H.5,253,223,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,58
2 III H.5 i_uebrige,faust://inscription/faustedition/2_III_H.5/i_uebrige,2 III H.5 i_uebrige,Inscription,2 III H.5,254,221,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,72
2 V H.4 i_uebrige,faust://inscription/faustedition/2_V_H.4/i_uebrige,2 V H.4 i_uebrige,Inscription,2 V H.4,255,232,1825-02-25,1825-02-25,1825-03-05,1825-04-06,1825-03-01,1825.0,1825,66
2_III_H.8: i_r,faust://document/wa/2_III_H.8/i_r,2_III_H.8: i_r,UnknownRef,,256,222,1825-02-25,,,,1825-02-25,1825.0,1825,106
2 III H.5,faust://document/faustedition/2_III_H.5,2 III H.5,Witness,,257,223,1825-02-25,1825-02-25,1825-04-01,1825-04-06,1825-03-14,1825.0,1825,314
2 III H.8 i_r,faust://inscription/faustedition/2_III_H.8/i_r,2 III H.8 i_r,Inscription,2 III H.8,258,223,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,53
2 III H.30,faust://document/faustedition/2_III_H.30,2 III H.30,Witness,,259,223,1825-02-25,1825-02-25,1825-03-08,1825-03-08,1825-03-02,1825.0,1825,355
2 III H.34,faust://document/faustedition/2_III_H.34,2 III H.34,Witness,,260,224,1825-02-25,1825-02-25,1825-04-01,1825-04-06,1825-03-14,1825.0,1825,360
2 III H.26,faust://document/faustedition/2_III_H.26,2 III H.26,Witness,,261,227,1825-02-25,,1825-04-06,,1825-03-17,1825.0,1825,351
2 III H.32,faust://document/faustedition/2_III_H.32,2 III H.32,Witness,,262,226,1825-02-25,,1825-04-01,,1825-03-14,1825.0,1825,357
2 III H.36,faust://document/faustedition/2_III_H.36,2 III H.36,Witness,,263,221,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,362
2 III H.35,faust://document/faustedition/2_III_H.35,2 III H.35,Witness,,264,224,1825-02-25,1822-09-29,1825-04-06,,1825-03-17,1825.0,1825,361
2 III H.47,faust://document/faustedition/2_III_H.47,2 III H.47,Witness,,265,221,1825-02-25,1825-02-25,1826-03-27,1826-03-27,1825-09-10,1825.0,1825 … 1826,380
2 V H.5,faust://document/faustedition/2_V_H.5,2 V H.5,Witness,,266,231,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,489
2 V H.6,faust://document/faustedition/2_V_H.6,2 V H.6,Witness,,267,238,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,490
2 V H.8 i_r,faust://inscription/faustedition/2_V_H.8/i_r,2 V H.8 i_r,Inscription,2 V H.8,268,230,1825-02-25,,,,1825-02-25,1825.0,1825,44
2 V H.8 i_uebrige,faust://inscription/faustedition/2_V_H.8/i_uebrige,2 V H.8 i_uebrige,Inscription,2 V H.8,269,237,1825-02-25,1825-02-25,1825-03-05,,1825-03-01,1825.0,1825,67
2 V H.8,faust://document/faustedition/2_V_H.8,2 V H.8,Witness,,270,231,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,492
2 V H.7,faust://document/faustedition/2_V_H.7,2 V H.7,Witness,,271,242,1825-02-25,1825-02-25,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,491
2 V H.9,faust://document/faustedition/2_V_H.9,2 V H.9,Witness,,272,236,1825-02-25,1825-02-25,1825-03-05,1825-03-05,1825-03-01,1825.0,1825,493
2 V H.10,faust://document/faustedition/2_V_H.10,2 V H.10,Witness,,273,237,1825-02-25,1825-02-25,1825-03-08,1825-03-08,1825-03-02,1825.0,1825,494
2 V H.4 i_v,faust://inscription/faustedition/2_V_H.4/i_v,2 V H.4 i_v,Inscription,2 V H.4,274,236,1825-02-25,,,,1825-02-25,1825.0,1825,77
2 V H.11,faust://document/faustedition/2_V_H.11,2 V H.11,Witness,,275,236,1825-02-25,1825-02-24,1825-03-08,1825-04-01,1825-03-02,1825.0,1825,495
2 V H.15b,faust://document/faustedition/2_V_H.15b,2 V H.15b,Witness,,276,222,1825-02-25,1825-02-25,1825-03-17,1825-04-06,1825-03-07,1825.0,1825,503
H P93,faust://document/faustedition/H_P93,H P93,Witness,,277,225,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,578
H P165,faust://document/faustedition/H_P165,H P165,Witness,,278,226,1825-02-25,,,,1825-02-25,1825.0,1825,617
gsa_2: GSA_25_W_1575,faust://document/gsa_2/GSA_25_W_1575,gsa_2: GSA_25_W_1575,UnknownRef,,279,221,1825-02-25,1825-02-25,1830-01-01,1830-01-01,1827-07-30,1827.0,1825 … 1829,663
H P167 i_v,faust://inscription/faustedition/H_P167/i_v,H P167 i_v,Inscription,H P167,280,222,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,678
2 V H.24 i_r,faust://inscription/faustedition/2_V_H.24/i_r,2 V H.24 i_r,Inscription,2 V H.24,281,224,1825-02-26,1825-02-26,1825-02-27,1825-02-28,1825-02-26,1825.0,1825,48
2 V H.32,faust://document/faustedition/2_V_H.32,2 V H.32,Witness,,282,227,1825-02-26,1825-02-24,1825-03-07,1825-04-01,1825-03-02,1825.0,1825,522
2 III H.50b,faust://document/faustedition/2_III_H.50b,2 III H.50b,Witness,,283,191,1823-12-22,1823-12-22,1826-04-20,1826-06-25,1825-02-19,1825.0,1823 … 1826,389
H P190,faust://document/faustedition/H_P190,H P190,Witness,,284,2,,,,,,,,631
2 V H.20,faust://document/faustedition/2_V_H.20,2 V H.20,Witness,,285,222,1825-02-24,1825-02-24,1825-02-27,1825-04-01,1825-02-25,1825.0,1825,508
2 V H.19,faust://document/faustedition/2_V_H.19,2 V H.19,Witness,,286,229,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,507
2 V H.22,faust://document/faustedition/2_V_H.22,2 V H.22,Witness,,287,227,1825-02-26,1825-02-24,1825-02-27,1825-04-01,1825-02-26,1825.0,1825,510
2 V H.23,faust://document/faustedition/2_V_H.23,2 V H.23,Witness,,288,230,1825-02-26,1825-02-25,1825-02-27,1825-03-01,1825-02-26,1825.0,1825,511
2 V H.21,faust://document/faustedition/2_V_H.21,2 V H.21,Witness,,289,235,1825-02-26,1825-02-24,1825-02-27,1825-02-28,1825-02-26,1825.0,1825,509
2 V H.24 i_v,faust://inscription/faustedition/2_V_H.24/i_v,2 V H.24 i_v,Inscription,2 V H.24,290,231,1825-02-26,1824-08-29,1825-02-27,1825-02-27,1825-02-26,1825.0,1825,81
2 V H.26,faust://document/faustedition/2_V_H.26,2 V H.26,Witness,,291,227,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,514
2 V H.13 i_r,faust://inscription/faustedition/2_V_H.13/i_r,2 V H.13 i_r,Inscription,2 V H.13,292,233,1825-03-01,1825-03-01,1825-03-08,1825-03-08,1825-03-04,1825.0,1825,45
2 III H.8 i_v,faust://inscription/faustedition/2_III_H.8/i_v,2 III H.8 i_v,Inscription,2 III H.8,293,234,1825-03-01,1825-03-01,1825-03-30,1825-04-01,1825-03-15,1825.0,1825,87
2 III H.8,faust://document/faustedition/2_III_H.8,2 III H.8,Witness,,294,237,1825-03-01,1825-03-01,1825-04-01,1825-04-01,1825-03-16,1825.0,1825,322
2 V H.12:1,faust://document/faustedition/2_V_H.12_1,2 V H.12:1,Witness,,295,249,1825-03-01,1825-03-01,1825-03-08,1825-03-08,1825-03-04,1825.0,1825,496
2 V H.12:2,faust://document/faustedition/2_V_H.12_2,2 V H.12:2,Witness,,296,249,1825-03-01,1825-03-01,1825-03-08,1825-03-08,1825-03-04,1825.0,1825,497
2 V H.13,faust://document/faustedition/2_V_H.13,2 V H.13,Witness,,297,253,1825-03-01,1825-02-24,1825-03-17,1825-04-01,1825-03-09,1825.0,1825,498
H P163,faust://document/faustedition/H_P163,H P163,Witness,,298,235,1825-03-01,1825-02-25,1825-03-30,1825-04-06,1825-03-15,1825.0,1825,615
2 III H.13,faust://document/faustedition/2_III_H.13,2 III H.13,Witness,,299,236,1825-03-01,1825-03-01,1825-03-30,1825-04-01,1825-03-15,1825.0,1825,332
2 III H.11,faust://document/faustedition/2_III_H.11,2 III H.11,Witness,,300,238,1825-03-01,1825-02-25,1825-04-06,1825-05-30,1825-03-19,1825.0,1825,329
2 III H.14,faust://document/faustedition/2_III_H.14,2 III H.14,Witness,,301,240,1825-03-01,1824-10-21,1825-03-30,1825-04-21,1825-03-15,1825.0,1825,333
2 III H.18,faust://document/faustedition/2_III_H.18,2 III H.18,Witness,,302,236,1825-03-01,1822-09-29,1825-03-30,,1825-03-15,1825.0,1825,337
fischer_lamberg: 2_III_H.15 ,faust://inscription/fischer_lamberg/2_III_H.15/,fischer_lamberg: 2_III_H.15 ,Inscription,fischer_lamberg: 2_III_H.15,303,239,1825-03-01,,1825-04-02,,1825-03-17,1825.0,1825,98
2 III H.15,faust://document/faustedition/2_III_H.15,2 III H.15,Witness,,304,241,1825-03-01,1822-09-29,1825-03-30,,1825-03-15,1825.0,1825,334
wa: 2_III_H.15II,faust://document/wa/2_III_H.15II,wa: 2_III_H.15II,UnknownRef,,305,240,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,112
2 III H.6:2,faust://document/faustedition/2_III_H.6_2,2 III H.6:2,Witness,,306,247,1825-03-01,1825-02-25,1825-03-30,1825-03-30,1825-03-15,1825.0,1825,316
2 III H.6:1,faust://document/faustedition/2_III_H.6_1,2 III H.6:1,Witness,,307,249,1825-03-01,1822-09-29,1825-03-30,1825-03-30,1825-03-15,1825.0,1825,315
2 III H.16,faust://document/faustedition/2_III_H.16,2 III H.16,Witness,,308,245,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,335
2 III H.19,faust://document/faustedition/2_III_H.19,2 III H.19,Witness,,309,249,1825-03-01,1824-10-02,1825-04-02,1825-04-02,1825-03-17,1825.0,1825,338
2 III H.20,faust://document/faustedition/2_III_H.20,2 III H.20,Witness,,310,245,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,339
2 III H.21,faust://document/faustedition/2_III_H.21,2 III H.21,Witness,,311,245,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,340
2 III H.24,faust://document/faustedition/2_III_H.24,2 III H.24,Witness,,312,242,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,347
2 III H.17,faust://document/faustedition/2_III_H.17,2 III H.17,Witness,,313,266,1825-03-01,1825-02-25,1825-04-06,1825-04-06,1825-03-19,1825.0,1825,336
2 III H.1 alpha,faust://inscription/faustedition/2_III_H.1/alpha,2 III H.1 alpha,Inscription,2 III H.1,314,249,1825-03-01,,,,1825-03-01,1825.0,1825,29
2 III H.24a,faust://document/faustedition/2_III_H.24a,2 III H.24a,Witness,,315,242,1825-03-01,,,,1825-03-01,1825.0,1825,348
H P176a,faust://document/faustedition/H_P176a,H P176a,Witness,,316,233,1825-03-01,1825-03-01,1825-04-04,1825-04-06,1825-03-18,1825.0,1825,624
inscription: wa P230,faust://inscription/wa/P230,inscription: wa P230,UnknownRef,,317,233,1825-03-01,1825-03-01,1825-04-01,1825-04-01,1825-03-16,1825.0,1825,688
2 IV H.20 i_uebrige,faust://inscription/faustedition/2_IV_H.20/i_uebrige,2 IV H.20 i_uebrige,Inscription,2 IV H.20,318,2,,,,,,,,61
2 V H.31 i_r_o,faust://inscription/faustedition/2_V_H.31/i_r_o,2 V H.31 i_r_o,Inscription,2 V H.31,319,228,1825-02-26,,1825-03-07,,1825-03-02,1825.0,1825,57
2 V H.31 i_r_uebrige,faust://inscription/faustedition/2_V_H.31/i_r_uebrige,2 V H.31 i_r_uebrige,Inscription,2 V H.31,320,238,1825-03-01,1825-03-01,1825-03-07,1825-04-01,1825-03-04,1825.0,1825,60
2 V H.17 i_v,faust://inscription/faustedition/2_V_H.17/i_v,2 V H.17 i_v,Inscription,2 V H.17,321,230,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,79
2 V H.26 i_r,faust://inscription/faustedition/2_V_H.26/i_r,2 V H.26 i_r,Inscription,2 V H.26,322,234,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,47
2 V H.26 i_v,faust://inscription/faustedition/2_V_H.26/i_v,2 V H.26 i_v,Inscription,2 V H.26,323,235,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,80
2 V H.31 i_v,faust://inscription/faustedition/2_V_H.31/i_v,2 V H.31 i_v,Inscription,2 V H.31,324,238,1825-03-01,1825-03-01,1825-03-07,1825-04-01,1825-03-04,1825.0,1825,83
2 V H.18,faust://document/faustedition/2_V_H.18,2 V H.18,Witness,,325,230,1825-02-26,,1825-03-17,,1825-03-07,1825.0,1825,506
2 V H.17,faust://document/faustedition/2_V_H.17,2 V H.17,Witness,,326,232,1825-02-26,1825-02-24,1825-03-17,1825-04-01,1825-03-07,1825.0,1825,505
2 V H.30,faust://document/faustedition/2_V_H.30,2 V H.30,Witness,,327,243,1825-03-01,1825-02-24,1825-03-07,1825-03-07,1825-03-04,1825.0,1825,519
2 V H.2 alpha,faust://inscription/faustedition/2_V_H.2/alpha,2 V H.2 alpha,Inscription,2 V H.2,328,245,1825-03-01,,1825-03-17,,1825-03-09,1825.0,1825,26
2 V H.31,faust://document/faustedition/2_V_H.31,2 V H.31,Witness,,329,242,1825-03-01,1825-02-24,1825-03-17,1825-04-01,1825-03-09,1825.0,1825,520
2 V H.31a,faust://document/faustedition/2_V_H.31a,2 V H.31a,Witness,,330,241,1825-03-01,1824-09-19,1825-03-20,1825-03-20,1825-03-10,1825.0,1825,521
2 III H.31,faust://document/faustedition/2_III_H.31,2 III H.31,Witness,,331,273,1825-03-08,1825-03-08,1825-04-01,1825-04-01,1825-03-20,1825.0,1825,356
2 III H.33,faust://document/faustedition/2_III_H.33,2 III H.33,Witness,,332,272,1825-03-08,,1825-04-06,,1825-03-22,1825.0,1825,358
2 V H.13 i_v,faust://inscription/faustedition/2_V_H.13/i_v,2 V H.13 i_v,Inscription,2 V H.13,333,276,1825-03-13,1825-03-13,1825-03-17,,1825-03-15,1825.0,1825,78
2 III H.25a,faust://document/faustedition/2_III_H.25a,2 III H.25a,Witness,,334,280,1825-03-13,1825-03-13,1825-04-06,1825-09-11,1825-03-25,1825.0,1825,350
2 III H.25,faust://document/faustedition/2_III_H.25,2 III H.25,Witness,,335,280,1825-03-13,,1825-04-06,,1825-03-25,1825.0,1825,349
2 V H.14,faust://document/faustedition/2_V_H.14,2 V H.14,Witness,,336,282,1825-03-13,1825-03-13,1825-03-17,1825-04-01,1825-03-15,1825.0,1825,499
2 V H.2,faust://document/faustedition/2_V_H.2,2 V H.2,Witness,,337,341,1825-03-13,1825-03-12,1825-03-17,1825-03-17,1825-03-15,1825.0,1825,486
2 III H.27 i_r,faust://inscription/faustedition/2_III_H.27/i_r,2 III H.27 i_r,Inscription,2 III H.27,338,296,1825-03-24,1825-03-24,1825-04-05,1825-04-05,1825-03-30,1825.0,1825,54
2 III H.42,faust://document/faustedition/2_III_H.42,2 III H.42,Witness,,339,302,1825-03-28,1825-03-28,1825-03-30,1825-03-30,1825-03-29,1825.0,1825,369
2 III H.37,faust://document/faustedition/2_III_H.37,2 III H.37,Witness,,340,300,1825-03-28,,1825-04-06,,1825-04-01,1825.0,1825,363
2 III H.37a,faust://document/faustedition/2_III_H.37a,2 III H.37a,Witness,,341,301,1825-03-28,,1826-06-10,,1825-11-02,1825.0,1825 … 1826,364
2 III H.41,faust://document/faustedition/2_III_H.41,2 III H.41,Witness,,342,303,1825-03-28,1824-11-17,1825-04-06,1825-05-18,1825-04-01,1825.0,1825,368
2 III H.42a,faust://document/faustedition/2_III_H.42a,2 III H.42a,Witness,,343,300,1825-03-28,,,,1825-03-28,1825.0,1825,370
2 III H.44,faust://document/faustedition/2_III_H.44,2 III H.44,Witness,,344,302,1825-03-28,1824-04-30,1825-04-06,1825-04-21,1825-04-01,1825.0,1825,372
2 III H.44a,faust://document/faustedition/2_III_H.44a,2 III H.44a,Witness,,345,304,1825-03-28,1824-04-22,1825-04-06,1825-04-21,1825-04-01,1825.0,1825,373
2 III H.27,faust://document/faustedition/2_III_H.27,2 III H.27,Witness,,346,302,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,352
2 III H.28,faust://document/faustedition/2_III_H.28,2 III H.28,Witness,,347,306,1825-03-29,1825-03-29,1825-04-06,1825-04-06,1825-04-02,1825.0,1825,353
2 III H.29,faust://document/faustedition/2_III_H.29,2 III H.29,Witness,,348,306,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,354
2 III H.38,faust://document/faustedition/2_III_H.38,2 III H.38,Witness,,349,305,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,365
2 III H.39,faust://document/faustedition/2_III_H.39,2 III H.39,Witness,,350,301,1825-03-29,1825-03-29,1825-04-06,1825-06-04,1825-04-02,1825.0,1825,366
2 III H.40,faust://document/faustedition/2_III_H.40,2 III H.40,Witness,,351,301,1825-03-29,1825-03-29,1825-04-06,1825-06-05,1825-04-02,1825.0,1825,367
2 III H.1,faust://document/faustedition/2_III_H.1,2 III H.1,Witness,,352,397,1825-03-29,1825-02-24,1825-04-06,1825-04-06,1825-04-02,1825.0,1825,301
2 III H.64b,faust://document/faustedition/2_III_H.64b,2 III H.64b,Witness,,353,305,1825-03-29,,1826-04-28,,1825-10-12,1825.0,1825 … 1826,415
2 III H.64a,faust://document/faustedition/2_III_H.64a,2 III H.64a,Witness,,354,304,1825-03-29,,,,1825-03-29,1825.0,1825,414
2 III H.64c,faust://document/faustedition/2_III_H.64c,2 III H.64c,Witness,,355,305,1825-03-29,,,,1825-03-29,1825.0,1825,416
2 III H.64d,faust://document/faustedition/2_III_H.64d,2 III H.64d,Witness,,356,306,1825-03-29,,,,1825-03-29,1825.0,1825,417
H P164a,faust://document/faustedition/H_P164a,H P164a,Witness,,357,304,1825-03-29,1825-03-29,1825-04-04,1825-04-04,1825-04-01,1825.0,1825,616
